Company,Dividend Declared (Rs/Share),Dividend Payout %,Classification,CMP,FY,Announcement Date,Market Cap,Source
Kalyani Investment Company Ltd,10.0,8.5,First Ever Dividend Since Listing,5293.0,FY2027,2026-08-14,"Rs 2,305 Cr","BSE Corporate Actions — scrip 533302, ex-date 2026-08-14 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Antony Waste Handling Cell Ltd,0.5,10.6,First Ever Dividend Since Listing,389.0,FY2027,2026-08-13,"Rs 1,104 Cr","BSE Corporate Actions — scrip 543254, ex-date 2026-08-13 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Gujarat Poly Electronics Ltd,0.5,1.5,First Ever Dividend Since Listing,73.45,FY2027,2026-07-17,N/A,"BSE Corporate Actions — scrip 517288, ex-date 2026-07-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Soma Textiles & Industries Ltd,0.5,16.8,First Ever Dividend Since Listing,98.7,FY2027,2026-07-17,Rs 326 Cr,"BSE Corporate Actions — scrip 521034, ex-date 2026-07-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Suryoday Small Finance Bank Ltd,1.5,8.3,First Ever Dividend Since Listing,185.25,FY2027,2026-07-17,"Rs 1,969 Cr","BSE Corporate Actions — scrip 543279, ex-date 2026-07-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sheela Foam Ltd,1.0,7.6,First Ever Dividend Since Listing,766.0,FY2027,2026-07-09,"Rs 8,365 Cr","BSE Corporate Actions — scrip 540203, ex-date 2026-07-09 (https://www.bseindia.com/corporates/corporate_act.aspx)"
BF Investment Ltd,10.0,25.7,First Ever Dividend Since Listing,458.7,FY2027,2026-07-03,"Rs 1,727 Cr","BSE Corporate Actions — scrip 533303, ex-date 2026-07-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Technojet Consultants Ltd,87.0,N/A,First Ever Dividend Since Listing,99.54,FY2027,2026-06-12,N/A,"BSE Corporate Actions — scrip 509917, ex-date 2026-06-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Oseaspre Consultants Ltd,87.0,N/A,First Ever Dividend Since Listing,17.95,FY2027,2026-06-12,N/A,"BSE Corporate Actions — scrip 509782, ex-date 2026-06-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Stratmont Industries Ltd,0.1,9.2,First Ever Dividend Since Listing,57.1,FY2026,2026-02-26,N/A,"BSE Corporate Actions — scrip 530495, ex-date 2026-02-26 (https://www.bseindia.com/corporates/corporate_act.aspx)"
