Company,Dividend Declared (Rs/Share),Dividend Payout %,CMP,FY,Announcement Date,Market Cap,Years Since Listing,Source
Aditya Birla Lifestyle Brands Ltd,0.5,42.4,94.25,FY2027,2026-08-07,"Rs 11,503 Cr",1.1,"BSE Corporate Actions — scrip 544403, ex-date 2026-08-07 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Rubicon Research Ltd,1.5,N/A,1558.8,FY2027,2026-08-07,"Rs 25,803 Cr",0.8,"BSE Corporate Actions — scrip 544578, ex-date 2026-08-07 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Vedanta Aluminium Metal Ltd,8.0,N/A,469.95,FY2027,2026-08-05,"Rs 1,83,769 Cr",0.1,"BSE Corporate Actions — scrip 544780, ex-date 2026-08-05 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Updater Services Ltd,1.0,9.6,211.0,FY2027,2026-08-05,"Rs 1,413 Cr",2.8,"BSE Corporate Actions — scrip 543996, ex-date 2026-08-05 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Bajel Projects Ltd,0.6,25.8,177.2,FY2027,2026-07-31,"Rs 2,045 Cr",2.6,"BSE Corporate Actions — scrip 544042, ex-date 2026-07-31 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Tata Capital Ltd,0.57,N/A,350.7,FY2027,2026-07-27,"Rs 1,48,868 Cr",0.8,"BSE Corporate Actions — scrip 544574, ex-date 2026-07-27 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Central Mine Planning & Design Institute Ltd,1.05,N/A,253.55,FY2027,2026-07-24,"Rs 18,082 Cr",0.3,"BSE Corporate Actions — scrip 544739, ex-date 2026-07-24 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Rishabh Instruments Ltd,2.0,18.5,630.7,FY2027,2026-07-24,"Rs 2,438 Cr",2.9,"BSE Corporate Actions — scrip 543977, ex-date 2026-07-24 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sudeep Pharma Ltd,1.5,N/A,868.0,FY2027,2026-07-23,"Rs 9,804 Cr",0.6,"BSE Corporate Actions — scrip 544619, ex-date 2026-07-23 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Aditya Infotech Ltd,1.64,5.7,3553.75,FY2027,2026-07-20,"Rs 41,978 Cr",1.0,"BSE Corporate Actions — scrip 544466, ex-date 2026-07-20 (https://www.bseindia.com/corporates/corporate_act.aspx)"
